songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
1941619,어제보다 오늘 더,김종국,발라드,Here I Am,윤사라,김도훈 (RBW),20081022,https://cdnimg.melon.co.kr/cm/album/images/003/99/175/399175_500.jpg/melon/resize/282/quality/80/optimize,56,21145,"I do 영원히 단 한 사람만
바라볼 수 있나요
I do 나 자신보다 아낄 수 있나요
I do 그 누가 내게 물어도
대답할 수 있어요
I do 나의 사랑 그대죠
약속하지 않을 거예요
행여 잠시라도 흔들릴 거라면
시작하지 않아요
심장보다 먼저 멈출 사랑이면
어제보다 오늘 더 많이 사랑합니다
아프도록 소중한 사람 처음입니다
그댈 만나려고 이렇게 행복 하려고
많이도 아팠나 봅니다

힘든 날도 있을 거예요
눈물 멎지 않는 그 어떤 아픔도
언젠가는 끝나죠
끝이 없는 것은 우리의 사랑뿐
어제보다 오늘 더 많이 사랑합니다
아프도록 소중한 사람 처음입니다
그댈 만나려고 이렇게 행복 하려고
많이도 아팠나 봅니다
두 번 다시는 하고 싶지 않아요
헤어지는 일 그댈 만나기 위한
헤어짐 아니라면 언제까지나

벅차오는 가슴이 터질 것만 같아서
내 눈 앞의 그대가 꿈인 것만 같아서
달려가 숨쉬는 그대를 품에 안아야
마음을 놓는 바봅니다
어제보다 오늘 더 많이 사랑합니다
아프도록 소중한 사람 처음입니다
그댈 만나려고 이렇게 행복 하려고
많이도 아팠나 봅니다",
2012282,Gee,소녀시대 (GIRLS' GENERATION),댄스,The First Mini Album 'Gee',이트라이브 (E-TRIBE),이트라이브 (E-TRIBE),20090105,https://cdnimg.melon.co.kr/cm/album/images/004/58/355/458355_500.jpg/melon/resize/282/quality/80/optimize,241,45961,"Uh Huh Listen Boy 
My First Love Story 
My Angel and My Girl
My Sunshine
Uh Uh Let's go
너무 너무 멋져 눈이 눈이 부셔
숨을 못 쉬겠어 떨리는 Girl
Gee Gee Gee Gee Baby Baby Baby
Gee Gee Gee Gee Baby Baby Baby
너무 부끄러워 쳐다 볼 수 없어
사랑에 빠져서 수줍은 Girl
Gee Gee Gee Gee Baby Baby Baby
Gee Gee Gee Gee
Be Be Be Be Be Be
어떻게 하죠
어떡 어떡하죠
떨리는 나는
떨리는 나는요
두근 두근 두근 두근
두근 두근거려
밤엔 잠도 못 이루죠
나는 나는 바본가봐요
그대 그대밖에 모르는 바보
그래요 그댈 보는 난
너무 반짝 반짝 눈이 부셔
No No No No No
너무 깜짝 깜짝 놀란 나는
Oh Oh Oh Oh Oh
너무 짜릿 짜릿 몸이 떨려
Gee Gee Gee Gee Gee
Oh 젖은 눈빛 Oh Yeah
좋은 향기 Oh Yeah Yeah Yeah
너무 너무 예뻐 맘이 너무 예뻐
첫 눈에 반했어 꼭 짚은 Girl
Gee Gee Gee Gee Baby Baby Baby
Gee Gee Gee Gee Baby Baby Baby
너무나 뜨거워 만질 수가 없어
사랑에 타버려 후끈한 Girl
Gee Gee Gee Gee Baby Baby Baby
Gee Gee Gee Gee
Be Be Be Be Be Be
어쩌면 좋아
어쩌면 좋아요
수줍은 나는
수줍은 나는요
몰라 몰라 몰라 몰라
몰라 몰라 하며
매일 그대만 그리죠
친한 친구들은 말하죠
정말 너는 정말 못 말려
바보 하지만 그댈 보는 난
너무 반짝 반짝 눈이 부셔
No No No No No
너무 깜짝 깜짝 놀란 나는
Oh Oh Oh Oh Oh
너무 짜릿 짜릿 몸이 떨려
Gee Gee Gee Gee Gee
Oh 젖은 눈빛 Oh Yeah
좋은 향기 Oh Yeah Yeah Yeah
말도 못했는 걸
너무 부끄러워 하는 난
용기가 없는 걸까
어떡해야 좋은걸까
두근 두근 맘 졸이며
바라보고 있는 난
너무 반짝 반짝 눈이 부셔
No No No No No
너무 깜짝 깜짝 놀란 나는
Oh Oh Oh Oh Oh
너무 짜릿 짜릿 몸이 떨려
Gee Gee Gee Gee Gee
Oh 젖은 눈빛 Oh Yeah
좋은 향기 Oh Yeah
너무 반짝 반짝 눈이 부셔
No No No No No
너무 깜짝 깜짝 놀란 나는
Oh Oh Oh Oh Oh
너무 짜릿 짜릿 몸이 떨려
Gee Gee Gee Gee Gee
Oh 젖은 눈빛 Oh Yeah
좋은 향기 Oh Yeah Yeah Yeah",
2212365,I Don't Care,2NE1,댄스,2NE1 1st Mini Album,TEDDY,김병훈,20090708,https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/282/quality/80/optimize,243,69165,"hey playboy
it's about time and your time's up
I had to do this one for my girls
you know
sometime you gotta act like
you don't care
that's the only way you boys learn
Oh oh oh oh oh oh 2ne1
Oh oh oh oh oh oh 2ne1
니 옷깃에 묻은 립스틱들
나는 절대로 용서못해
매일 하루에 수십번 꺼져있는 핸드폰
변하지 않을 것만 같아 oh oh
그저 친구라는 수많은 여자친구
날 똑같이 생각하지 마
I won't let it fight
이제 니 맘대로 해 난 미련은 버릴래
한땐 정말 사랑했는데 oh oh
가끔씩 술에 취해 전활 걸어
지금은 새벽 다섯시 반
넌 또 다른 여자애 이름을 불러
no no
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
cause I don't care e e e e e
I don't care e e e e e
cause I don't care e e e e e
I don't care e e e e e
Boy I don't care
다른 여자들의 다리를 훔쳐보는
니가 너무너무 한심해
매일 빼놓는 커플링
나 몰래 한 소개팅
더 이상 못 참을 것 같아 oh oh
넌 절대 아니라는 수많은 나의 친구
난 너 땜에 친구들까지 다 잃었지만
차라리 홀가분해 너에게 난 과분해
내 사랑이라 믿었는데 oh oh
오늘도 바쁘다고 말하는 너
혹시나 전화해봤지만
역시 뒤에선 여자 웃음소리가 들려
oh no
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
cause I don't care e e e e e
I don't care e e e e e
cause I don't care e e e e e
I don't care e e e e e
Boy I don't care
난 너 땜에 울며 지새던
밤을 기억해 boy
더 후회할 날 생각하면
맘이 시원해 boy
날 놓치긴 아깝고 갖기엔 시시하잖니
있을 때 잘하지
너 왜 이제와 매달리니
속아준 거짓말만 해도 수백번
오늘 이후로 난 남자 울리는 bad girl
이젠 눈물 한방울 없이 널 비웃어
사랑이란 게임 속 loser
무릎꿇고 잘못을 뉘우쳐
아님 눈 앞에서 당장 꺼져
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
you know I don't care e e e e e e
I don't care e e e e e
I don't care e e e e e
I don't care e e e e e
Boy I don't care",
2229259,Abracadabra,브라운아이드걸스,댄스,Sound G.,김이나,미료,20090721,https://cdnimg.melon.co.kr/cm/album/images/006/03/751/603751_500.jpg/melon/resize/282/quality/80/optimize,133,30980,"Abracadabra

이러다 미쳐
내가 여리여리 착하던 그런 내가
너 때문에 돌아
내가 독한 나로 변해 내가
널 닮은 인형에다
주문을 또 걸어 내가
그녀와 찢어져 달라고 고
every night I`ll be with you 
do you love her do you love her
매일 나의 꿈 속에
do you love me do you love me
bring bring 너를 내게 가져다 줘
뭐라도 난 하겠어 더한 것도 하겠어
빙빙 도는 나의 fantasy에
모든걸 걸겠어 널 내가 내가 갖겠어
못참아 더는
내가 이러다가 정신을 놓쳐 내가
도대체 왜 너란 애가
내 마음에 박혀 니가
찢겨진 사진에다
주문을 또 걸어 내가
그녀가 떨어져 달라고 고
every night I`ll be with you 
do you love her do you love her
매일 나의 꿈 속에
do you love me do you love me
bring bring 너를 내게 가져다줘
뭐라도 난 하겠어 더한 것도 하겠어
빙빙 도는 나의 fantasy에
모든걸 걸겠어 널 내가 내가 갖겠어
I`m in the Voodoo lsland
널 되찾기 위한 plan
매일같이 이렇게 날 울린
널 향한 마지막 step
그녀의 손을 잡고
그녀와 입을 맞추고
그런 너를 상상조차 하기 싫어
이 주문에 염원을 실어
랄랄랄랄랄라 랄랄랄라 
랄랄랄랄랄라 랄랄랄라 
랄랄랄라 랄랄랄라 
아브라카다브라 다 이뤄져라
Let`s go uh uhuhuh
ha hahaha 
네게 주문을 걸어봐
I'm like a supervisor
널 통제하는 kaiser
내게서 벗어날 수 없어
bring bring 너를 내게 가져다줘
뭐라도 난 하겠어 더한것도 하겠어
빙빙 도는 나의 fantasy에
모든걸 걸겠어 널 내가 내가 갖겠어
이러다 미쳐 내가
여리여리 착하던 그런 내가
너 때문에 돌아
내가 독한 나로 변해 내가
cool한척 하는
내가 놀라워라 이런 내가
아닌척 널 만나러 가도 도",
2258761,Heartbreaker,G-DRAGON,댄스,Heartbreaker,G-DRAGON,G-DRAGON,20090818,https://cdnimg.melon.co.kr/cm/album/images/006/35/352/635352_500.jpg/melon/resize/282/quality/80/optimize,243,51028,"A yo finally
Is this what you been waitin' for
brand new G D
I'm all by myself
But it's all good
Yo ma Heartbreaker
DJ and YG
Let me take this song here
나도 어디서 꿀리진 않어
아직 쓸만한 걸 죽지 않었어
너 하나 때문에 망가진 몸
사라진 꿈 불 타는 맘 
널 위해서라면 내 한 몸 날려
니가 있는 곳이면 달려
하지만 그댄 내게 안녕 또 안녕
넌 내가 싫다고 이유가 뭐냐고
짜증난 네 표정이
모든 걸 말해줘 슬프게 해
그래도 좋다고 기회를 달래도
한번 돌아선 니 모습
차가운 그 눈빛이 싫어요
No No
Yo ma heart heart heart heart
Heart breaker
내가 뭘 잘못했는지
Yo ma heart heart heart heart
Heart breaker
No way No way
니가 날 떠나간다고
난 인정 못한다고
잘 사나보자고
Lovers and Haters
지긋지긋지긋 해
삐끗삐끗삐끗 해
내 사랑이 비굴해
No way
매일 똑같은 문제
넌 내가 변했다해
가증스런 입 다물래
상대가 누군지 알고 말해
난 이제 Out of control
혼자서 계속 밑으로
그 자리 그 곳에서 안녕 또 안녕
넌 내가 싫다고 이유가 뭐냐고
화가 난 니 목소리
모든 걸 보여줘 슬프게 해
그래도 좋다고 기회를 달래도
한번 돌아선 니 모습
차가운 그 미소가 미워요
No No
Yo ma heart heart heart heart
Heart breaker
내가 뭘 잘못했는지
Yo ma heart heart heart heart
Heart breaker
No way No way
니가 날 떠나간대도
난 인정 못한다고
잘 사나보자고
Lovers and Haters
지긋지긋지긋 해
삐끗삐끗삐끗 해
내 사랑이 비굴해
I'll still still be there
꺼진 니 전화기에
I'll still still be there
네 집 앞 편지함에
난 아직도 그댈
이젠 남이라 해도
I'll will still be there
영원히 함께하잔 그 말들
잠깐의 달콤한 뿐이라고
그댄 왜 아무렇지 않냐고
헤이 난 이렇게 아픈데
Yo ma heart heart heart heart
Heart breaker
내가 뭘 잘못했는지
Yo ma heart heart heart heart
Heart breaker
No way No way
Yo ma heart heart heart heart breaker
Yo ma heart heart heart heart
breaker breaker
H E A R T baby 
No way
I'm out",
2135469,Again＆Again,2PM,댄스,2:00PM Time For Change,박진영,박진영,20090416,https://cdnimg.melon.co.kr/cm/album/images/005/42/253/542253_500.jpg/melon/resize/282/quality/80/optimize,93,17119,"Again and again and again and again
Again and again and again and again
이렇게 왜 내가
또 너의 집 앞에 또 서있는 건지
대체 난 바본지 
정말 속고 또 속고
또 당하고 또 당해도
또 다시 이 자리에 와있는지
내가 미쳤나 봐 자존심도 없는지
너에게 돌아와 쳇바퀴 돌듯이
이럼 안 되는데 되는데 되는데
하면서 오늘도 이러고 있어
Again and again and again and again
너에게 자꾸 돌아가
왜 그런지 몰라 왜 그런지 몰라
Again and again and again and again
너의 말에 또 속아
왜 그런지 몰라 왜 그런지 몰라
어쩜 이렇게도 바보 같니
내가 내가 왜 이렇게 된 거니
난 분명히 결심을 했는데
하고 또 했는데
왜 너에게 자꾸 돌아오는지
내가 미쳤나 봐 자존심도 없는지
너에게 돌아와 쳇바퀴 돌듯이
절대 안 볼 거라 볼 거라
볼 거라 하면서
다시 또 이러고 있어
Again and again and again and again
너에게 자꾸 돌아가
왜 그런지 몰라 왜 그런지 몰라
Again and again and again and again
너의 말에 또 속아
왜 그런지 몰라 왜 그런지 몰라
넌 대체 어떤 약이길래
끊을 수가 없어
나도 몰래 자꾸 너를 그리워하고
결국엔 또 찾고 
나쁜 여자인줄 알면서
난 또 널 품에 안고
사랑을 해 보나마나
뻔히 다가올 내일의 아픔을
다 알고 있으면서
돌아서질 못해 결정을 못 내려
젠장 나 왜이러니
왜 이 여자 옆에 누워있니 
도대체 몇 번째 이 짓을 더 해봐야
 내가 정신을 차릴런지
누가 좀 날 어디에다 묶어줘
어서 제발
She’s a bad girl
I know know
But here I go again oh no
Again and again and again and again
너에게 자꾸 돌아가
왜 그런지 몰라 왜 그런지 몰라
Again and again and again and again
너의 말에 또 속아
왜 그런지 몰라 왜 그런지 몰라",
2101157,심장이 없어,에이트,발라드,골든에이지,방시혁,백찬,20090310,https://cdnimg.melon.co.kr/cm/album/images/005/14/852/514852_500.jpg/melon/resize/282/quality/80/optimize,118,57958,"아프다고 말하면 
정말 아플 것 같아서 
슬프다고 말하면 
눈물이 날 것 같아서 
그냥 웃지 그냥 웃지 그냥 웃지 
그런데 사람들이 왜 우냐고 물어 
매일을 울다가 웃다가 
울다가 웃는걸 반복해 
나 왜 이러는데 
술이 술인지 밥인지도 모르는 채 
살아 이 정도 아픔은 
통과 의례인 듯 해 
멍하니 종이에 나도 몰래 
니 이름만 적어 하루 왼 종일 
종이가 시커매지고서야 펜을 놔 
너 그리워 또 핸드폰을 들었다 놔 
눈물이 또 찾아와 너와의 이별이란 
나는 심장이 없어 나는 심장이 없어 
그래서 아픈 걸 느낄리 없어 
매일 혼잣말을 해 내게 주문을 걸어 
그래도 자꾸 눈물이 나는 걸 
아프다고 말하면 
정말 아플 것 같아서 
슬프다고 말하면 
눈물이 날 것 같아서 
그냥 웃지 그냥 웃지 그냥 웃지 
그런데 사람들이 왜 우냐고 물어 
이렇게 웃는데 
니가 떠나고부터 
난 바보가 된 것 같어 
i can't do 아무것도 
죽어라 방구석에 박혀 살어 
너 없인 할 일도 없는데 
하룬 길어 너무 길어 
근데 뭐 그리 바뻐 널 외롭게 했어 
니가 쇼핑 가자 그럴 때 
친구와 술 한잔 마시는 건 그렇게 
쉬운데 왜 너한텐 못했을까 
언제나 제일 느린 게 후회랬는데 
정말 바본지 끝까지 
너와의 끈을 놓지 못해 
나는 심장이 없어 나는 심장이 없어 
오늘도 뻔한 거짓말을 해 
가슴이 너무 아픈데
이렇게 보채는데
어떻게 웃을 수가 있겠어
아프다고 말하면
정말 아플 것 같아서
슬프다고 말하면
눈물이 날 것 같아서
그냥 웃지 그냥 웃지 그냥 웃지
그런데 사람들이 왜 우냐고 물어
이렇게 웃는데
웃자 TV속 연예인들처럼
웃자 너의 미니홈피 제목처럼
웃자 행복했던 내 어제처럼
나는 심장이 없어
아플 수가 난 없어
나는 심장이 없어
아플 수가 난 없어
그냥 웃자 그냥 웃자 그냥 웃자
제발 좀 눈물아 이제는 멈춰줘",
2276194,사랑비,김태우,발라드,T-Virus,김태우,이현승,20090903,https://cdnimg.melon.co.kr/cm/album/images/006/50/256/650256_500.jpg/melon/resize/282/quality/80/optimize,91,60464,"사랑했었던 어떤 이가
떠나간 적 있겠죠
모든 게 내 탓이란
생각이 든 적 있겠죠
나 그래서 잡지 못했죠
이런 아픔쯤은 모두
잊을 수 있을 거라
다른 사랑이 찾아
올 거라 생각했었죠
왜 그런데 잊질 못하죠
그저 하늘 바라보며
외치죠 다시 한번
나를 사랑해줘
내 맘속 작은 바램이
비가 되어 내려오면
내 사랑이 머리에 내리면
추억이 되살아 나고
가슴에 내리면 소중했던
사랑이 떠오르고
내 사랑이 입술에 닿으면
널 사랑해 내게 외치며
비가 내리는 그 길을 따라
걷다가 걷다가 걷다 보면
바라던 내가 널 기다려
믿음이라는 열쇠로
사랑의 상잘 열어
사랑이란 기도를
전하는 전화를 걸어
내 맘이 널 찾지 못해도
그저 하늘 바라보며
외치죠 다시 한번
나를 사랑해줘
내 맘속 작은 바램이
비가 되어 내려오면
내 사랑이 머리에 내리면
추억이 되살아 나고
가슴에 내리면 소중했던
사랑이 떠오르고
내 사랑이 입술에 닿으면
널 사랑해 내게 외치며
비가 내리는 그 길을 따라
걷다가 걷다가 걷다 보면
바라던 내가 널 기다려
돌아가 그때로
내 삶에 단 한번
기도했던 대로
이렇게 외치면
사랑비가 내려와
너의 사랑이 나의
눈에 내리면
내 앞에 네가 서 있고
내 귀에 내리면 네가
다시 사랑을 속삭이고
널 사랑해 내 품에 안으면
또 다시 행복해지면
해가 비추는 그 길을 따라
같이 또 걷다가 걷다 보면
바라던 우리가 서 있어
내게 다시 오라는 기도
Oh yeah 한번 더",
2160048,Fire,2NE1,댄스,Fire (Digital Single),TEDDY,TEDDY,20090506,https://cdnimg.melon.co.kr/cm/album/images/005/54/651/554651_500.jpg/melon/resize/282/quality/80/optimize,120,30672,"I go by the name of CL of 2NE1
It's been a long time coming
but we're here now
and we about to set the roof
on FIRE baby
you better get yours
cause I'm getting mine
Eh eh eh eh eh eh ehh to anyone
Eh eh eh eh eh eh ehh
you gotta ring the alarm
Eh eh eh eh eh eh eh
we twenty one
Eh eh eh eh eh eh
hey hey hey hey
come in come in come in
다른 세상으로
지겹기만한 고민은 이제 등을지고
Lalalala 가식없는 나의 콧노래로
Hahahaha 다시 널 비웃지 못하도록
Now let's
춤을 춤을 춤을 춰요
wanna get down
보다 큰 꿈을 꿈을 꿈을 꿔
세상은 내맘
대로 다 할 수있기에
큰 자유를 위해
tonight tonight uh
내 눈빛에 빛나는 별들로
내 심장속을 태우는 저 불빛도
영원하진 않겠지
but 잃을건 없지
oh oh ye
난 미미미미미미미치고 싶어
더 빨리 뛰뛰뛰뛰뛰뛰뛰뛰고 싶어
저 높은 빌딩위로
저 푸른 하늘위로
크게 소리리리리리리릴 치고싶어
you gotta FIRE
나의 가슴을 쿵쿵쿵
You gotta drop it like its hot
지금 멈추려하지마 ooh
the FIRE 내 머릿속을
boom boom boom
I gotta drop it Like its hot
멈추려 하지마 hey
get up get up get up
몇번넘어져도
믿었던 세상이 날 또 다시 배신해도
나나나난 절대 울지않아 바보처럼
어머머머 내숭 떨지마라 남들처럼
내가 저 끝까지 데려갈게
fallow fallow me
숨이 차 오를 만큼
달려주는 나의 가슴이
왠지 나 쉽지만은 않아 재밌죠
겁내지마라 let it go
보다 더 나은 내일로
le le le le let's go
내 눈빛에 빛나는 별들로
내 심장속을 태우는 저 불빛도
영원하진 않겠지
but 잃을건 없지
oh oh ye
난 미미미미미미 미치고 싶어
더 빨리 뛰뛰뛰뛰뛰뛰뛰 뛰고 싶어
저 높은 빌딩위로
저 푸른 하늘위로
크게 소리리리리리리릴 치고싶어
소리질러
Eh eh eh eh eh eh ehh to anyone
Eh eh eh eh eh eh ehh
you gotta ring the alarm
Eh eh eh eh eh eh eh
we twenty one
Eh eh eh eh eh eh oh
머리가 찰랑찰랑찰랑찰랑 대도록
엉덩일 살랑살랑살랑살랑 흔들어
머리가 찰랑찰랑찰랑찰랑 대도록
엉덩일 살랑살랑살랑살랑 흔들어 uh
미미미미미미 미치고 싶어
더 빨리 뛰뛰뛰뛰뛰뛰뛰 뛰고싶어
저 높은 빌딩위로 저 푸른 하늘위로
크게 소리리리리리리릴 치고싶어
언제나 오늘처럼 난 자유롭고싶어",
2100540,"쏘리 쏘리 (Sorry, Sorry)",SUPER JUNIOR (슈퍼주니어),댄스,"The 3rd Album '쏘리 쏘리 (SORRY, SORRY)'",유영진,유영진,20090312,https://cdnimg.melon.co.kr/cm/album/images/005/14/152/514152_500.jpg/melon/resize/282/quality/80/optimize,117,29863,"- 쏘리 쏘리 (Sorry, Sorry) -

Sorry Sorry Sorry Sorry
내가 내가 내가 먼저
네게 네게 네게 빠져
빠져 빠져 버려 baby
Shawty Shawty Shawty Shawty
눈이 부셔 부셔 부셔
숨이 막혀 막혀 막혀
내가 미쳐 미쳐 baby
바라보는 눈빛 속에
눈빛 속에 나는 마치
나는 마치 뭐에 홀린 놈
이젠 벗어나지도 못해
걸어오는 너의 모습
너의 모습 너는 마치
내 심장을 밟고 왔나봐
이젠 벗어나지도 못해
어딜 가나 당당하게
웃는 너는 매력적
착한 여자 일색이란
생각들은 보편적
도도하게 거침 없게
정말 너는 환상적
돌이킬 수 없을만큼
네게 빠져 버렸어
Sorry Sorry Sorry Sorry
내가 내가 내가 먼저
네게 네게 네게 빠져
빠져 빠져 버려 baby
Shawty Shawty Shawty Shawty
눈이 부셔 부셔 부셔
숨이 막혀 막혀 막혀
내가 미쳐 미쳐 baby
딴딴 딴따다 따 따란딴
딴딴 딴따다 따
네게 반해버렸어 baby
딴딴 딴따다 따 따란딴
딴딴 딴따다 따 따라빠빠라
Hey girl gir gir gir gir gir girl
I 눈만뜨면 니 생각 Hey girl
자나깨나 사실 너 하나 밖에 안보여
말해봐 니 맘에 내가
말해봐 자리 잡았는지
말해줘 내게 말해줘
나는 바보 바보 바보
주변 사람들은 말해
내가 너무 적극적
이 세상에 그런 사람
어디 한둘이냐고
그걸 몰라 그녈 몰라
시기하며 하는 말
내가 부럽다면 그건
그대들이 지는 거
Sorry Sorry Sorry Sorry
내가 내가 내가 먼저
네게 네게 네게 빠져
빠져 빠져 버려 baby
Shawty Shawty Shawty Shawty
눈이 부셔 부셔 부셔
숨이 막혀 막혀 막혀
내가 미쳐 미쳐 baby
딴딴 딴따다 따 따란딴
딴딴 딴따다 따
네게 반해버렸어 baby
딴딴 딴따다 따 따라라라
딴딴 딴따다 따 따라빠빠라
Let's dance dance dance dance
Let's dance dance dance dance
Let's dance dance dance dance
dance dance
Hey 이제 그만 내게 와줄래
정말 미칠 것만 같아 yeah
난 너만 사랑하고 싶어
절대 다시 한눈 팔 생각 없어 hey
애인이라기보다 친구같은
내가 되고 싶어
너의 모든 고민 슬픔
함께 간직하고파
다시 없을 만큼 만큼
너를 너무 사랑해
내가 바란 사람 니가 바로 그
that that that girl
Sorry Sorry Sorry Sorry
내가 내가 내가 먼저
네게 네게 네게 빠져
빠져 빠져 버려 baby
Shawty Shawty Shawty Shawty
눈이 부셔 부셔 부셔
숨이 막혀 막혀 막혀
내가 미쳐 미쳐 baby",
2117748,Lollipop,BIGBANG (빅뱅),댄스,Lollipop (Digital Single),TEDDY,TEDDY,20090327,https://cdnimg.melon.co.kr/cm/album/images/005/28/151/528151_500.jpg/melon/resize/282/quality/80/optimize,152,29583,"Lolli Lolli Oh Lollipop  
Lolli Lolli Oh Lolli Lollipop  
Lolli Lolli Lollipop Oh  
넌 나의 Lollipop  
Lolli Lolli Lollipop Oh  
Lolli Pop Pop  
Lolli Lolli Lollipop Boy  
넌 나의 Lollipop  
Lolli Lolli Lollipop Oh  
Lolli Pop Pop  
막대사탕보다 더 달콤한  
내 마음은 터질듯한  
Dynamite  
난 깔끔한 남자 T O P  
내사랑  
Bling Bling like L E D  
그댄 딱 내 스탈야  
반짝반짝 스타야  
색다른걸 원해  
Let me show you if that's okay  
Now come on 
색깔은  
Rainbow  
날 느낀 순간 넌  
빠져버린걸 알아  
You just can't control  
날 사로 잡은 건  
너와 나만이 아는 우리 둘의  
Secret light  
Lolli Lolli Lollipop  
달콤하게 다가와  
Lolli Lolli Lollipop  
내게 속삭여줘  
Lolli Lolli Lollipop  
상큼하게 다가와  
Lolli Lolli Lollipop  
너를 원하잖아  
Lolli Lolli Lollipop Girl  
넌 나의 Lollipop  
Lolli Lolli Lollipop Oh  
Lolli Pop Pop  
날 설레게 하는  
너의 Body 너의 Move  
이미 네 시선을 
가둬버린 나의  
Groove 
식상함들은  
매일 날 지치게 해 
Let's just keep You and I F R E S H 
Now come on 
색깔은  
Rainbow 
날 느낀 순간 넌  
빠져버린걸 알아 
You just in control 
날 사로 잡은 건 
너와 나만이 아는 우리 둘의 
Secret Light 
Lolli Lolli Lollipop 
달콤하게 다가와 
Lolli Lolli Lollipop 
내게 속삭여줘 
Lolli Lolli Lollipop 
상큼하게 다가와 
Lolli Lolli Lollipop 
너를 원하잖아 
Lolli Lolli Lollipop boy 
넌 나의 Lollipop 
Lolli Lolli Lollipop Oh 
Lolli Pop Pop 
한 순간의 느낌이 아냐 
지금 두 눈을 감아도 
넌 내 앞에 서있는걸 
내가 바라던 그게 너야 
그냥 이대로  
너와 나 저 불빛아래 
Lolli Lolli Lollipop 
달콤하게 다가와 
Lolli Lolli Lollipop 
내게 속삭여줘 
Lolli Lolli Lollipop 
상큼하게 다가와 
Lolli Lolli Lollipop 
너를 원하잖아 
Lolli Lolli Lollipop oh 
넌 나의 Lollipop 
Lolli Lolli Lollipop Oh 
Lolli Pop Pop 
Lolli Lolli Lollipop oh 
넌 나의 Lollipop 
Lolli Lolli Lollipop Oh 
Lolli Pop Pop",
